"date","category","disp_desc","n"
2015-01-01,"Documentation Only/Miscellaneous","Service",2
2015-01-01,"Drug/Alcohol","Service",1
2015-01-01,"Drug/Alcohol","Unable to Locate",1
2015-01-01,"Nuisance/Code Enforcement","Service",2
2015-01-01,"Nuisance/Code Enforcement","Unable to Locate",1
2015-01-01,"Officer-Initiated Contact","Advised",5
2015-01-01,"Officer-Initiated Contact","Arrest Made",1
2015-01-01,"Officer-Initiated Contact","Cited",6
2015-01-01,"Officer-Initiated Contact","Service",22
2015-01-01,"Patrol Response for Assessment","Cancelled by RP",2
2015-01-01,"Patrol Response for Assessment","Cited",1
2015-01-01,"Patrol Response for Assessment","Referred",1
2015-01-01,"Patrol Response for Assessment","Report Taken",3
2015-01-01,"Patrol Response for Assessment","Service",17
2015-01-01,"Property Theft/Destruction/Lost","Report Taken",3
2015-01-01,"Required Other Agency/Department Response","Cancelled by RP",1
2015-01-01,"Suspicious Activity","Arrest Made",1
2015-01-01,"Suspicious Activity","Cancelled by RP",1
2015-01-01,"Suspicious Activity","Service",12
2015-01-01,"Suspicious Activity","Unable to Locate",1
2015-01-01,"Suspicious Activity","Unfounded",1
2015-01-01,"Traffic/Major Safety","Report Taken",1
2015-01-01,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",2
2015-01-01,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2015-01-01,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-01-02,"Documentation Only/Miscellaneous","Service",2
2015-01-02,"Nuisance/Code Enforcement","Cancelled by RP",1
2015-01-02,"Nuisance/Code Enforcement","Service",5
2015-01-02,"Officer-Initiated Contact","Advised",10
2015-01-02,"Officer-Initiated Contact","Cited",25
2015-01-02,"Officer-Initiated Contact","Service",15
2015-01-02,"Patrol Response for Assessment","Advised",3
2015-01-02,"Patrol Response for Assessment","Service",26
2015-01-02,"Patrol Response for Assessment","Unable to Locate",3
2015-01-02,"Property Theft/Destruction/Lost","Referred",1
