date,code,sex,dob,race_ethnicity,adult_juv
3/13/16,602.5,F,7/14/98,H,juvenile
10/7/15,10851(a) VC,M,2/14/99,H,juvenile
10/7/15,10851(a) VC,M,2/2/00,H,juvenile
11/2/16,10852 VC,M,9/16/01,W,juvenile
1/23/20,11352(a) H&S,M,7/17/05,H,juvenile
3/2/17,11357(a) H&S,M,8/18/00,H,juvenile
10/12/16,11359 H&S,F,7/4/00,H,juvenile
6/2/17,1203.2 PC,M,5/19/00,H,juvenile
4/21/16,1203.2(a) PC,M,11/11/98,H,juvenile
6/14/19,12500(a) VC,M,6/27/01,H,juvenile
10/29/15,12500(a) VC,F,8/24/98,H,juvenile
11/28/15,12500(a) VC,M,9/8/98,H,juvenile
1/3/16,12500(a) VC,M,7/21/99,H,juvenile
2/5/16,12500(a) VC,M,8/24/00,H,juvenile
5/8/16,12500(a) VC,M,3/18/99,H,juvenile
6/25/16,12500(a) VC,M,11/4/99,H,juvenile
1/23/17,12500(a) VC,M,7/4/00,W,juvenile
2/12/17,12500(a) VC,M,6/21/99,H,juvenile
2/17/17,12500(a) VC,M,4/16/99,H,juvenile
4/15/17,12500(a) VC,M,1/20/00,H,juvenile
8/17/17,12500(a) VC,M,3/1/00,H,juvenile
1/9/18,12500(a) VC,M,5/5/00,H,juvenile
1/21/18,12500(a) VC,M,6/11/04,H,juvenile
7/19/17,12500(a) VC,M,9/23/00,U,juvenile
5/4/18,12500(a) VC,M,6/17/02,H,juvenile
8/5/19,12500(a) VC,F,10/29/02,H,juvenile
3/24/17,12500(a) VC,M,5/19/99,H,juvenile
11/13/16,12500(a) VC,M,12/20/00,H,juvenile
4/28/16,12500(a) VC,F,9/20/98,W,juvenile
11/4/18,12500(a) VC,M,11/19/01,H,juvenile
11/29/17,O/W-Warrant,F,7/17/03,HSD,juvenile
9/12/17,148(a)(1) PC,F,7/17/03,H,juvenile
9/12/17,148(a)(1) PC,M,8/18/00,H,juvenile
9/12/17,148(a)(1) PC,M,9/19/02,H,juvenile
6/9/18,148(a)(1) PC,M,1/29/02,H,juvenile
9/12/17,16590(o) PC,M,7/15/02,H,juvenile
2/10/16,182 PC,F,3/3/01,H,juvenile
12/23/16,182(a)(1) PC,M,5/19/00,H,juvenile
12/23/15,182(a)(1) PC,M,7/31/00,H,juvenile
10/2/16,182(a)(1) PC,M,11/8/01,H,juvenile
12/23/16,182(a)(1) PC,F,1/9/01,H,juvenile
9/25/16,182(a)(1) PC,M,8/18/00,H,juvenile
8/21/19,20002(a) VC,M,10/7/01,W,juvenile
1/5/17,211 PC,M,10/14/00,H,juvenile
7/15/19,21453(b) VC,M,10/2/03,H,juvenile
5/9/17,23152(a) VC,M,2/18/00,H,juvenile
6/1/19,236 PC,M,6/7/02,H,juvenile
11/16/16,242 PC,F,8/20/02,W,juvenile
5/23/19,242 PC,M,6/7/02,H,juvenile
10/20/15,243.2 PC,M,7/4/00,H,juvenile
4/18/16,243.4(a) PC,M,8/30/98,H,juvenile
9/25/17,243(d) PC,F,12/13/01,W,juvenile
2/16/17,245(a)(4) PC,M,5/13/01,H,juvenile
10/26/15,25662(a) B&P,M,8/18/00,H,juvenile
12/21/16,25662(a) B&P,M,10/1/01,H,juvenile
1/23/17,25662(a) B&P,F,1/9/01,H,juvenile
1/23/17,25662(a) B&P,M,8/18/00,H,juvenile
9/9/17,25662(a) B&P,F,10/6/99,H,juvenile
12/18/17,272(a)(1) PC,M,8/18/00,H,juvenile
1/25/17,273a(a) PC,M,10/1/01,H,juvenile
5/11/19,350(a) H&S,M,6/7/02,H,juvenile
10/20/15,415(1) PC,M,8/11/99,H,juvenile
10/20/15,415(1) PC,M,3/1/00,H,juvenile
9/16/16,451(b) PC,M,1/8/01,H,juvenile
11/11/16,459 PC,M,11/8/01,H,juvenile
11/11/16,459 PC,M,9/19/02,H,juvenile
11/11/16,459 PC,M,10/1/01,H,juvenile
11/16/16,459 PC,M,6/7/99,H,juvenile
1/20/18,459 PC,M,8/18/00,H,juvenile
11/15/16,459 PC,M,8/18/00,H,juvenile
5/13/19,484(a) PC,M,6/7/02,H,juvenile
6/27/19,484(a) PC,M,6/7/02,H,juvenile
8/27/18,484e(a) PC,M,6/27/01,H,juvenile
4/14/16,488 PC,F,1/9/01,H,juvenile
9/25/16,488 PC,M,11/14/99,H,juvenile
3/2/17,488 PC,M,8/18/00,H,juvenile
3/7/17,488 PC,M,10/14/01,H,juvenile
7/30/17,488 PC,M,2/16/05,H,juvenile
9/14/17,488 PC,M,5/7/03,H,juvenile
4/3/19,488 PC,M,6/7/02,H,juvenile
